playerID,name
5830,Paolo Parente
5831,Samuel Delli Carri
5832,Simon Laner
5833,Damiano Zanon
5834,Arturo Lupoli
5826,Edoardo Oneto
5827,Leonardo Serinelli
5828,Enrico Vencato
5829,Luca Ceccarelli
5830,Paolo Parente
5831,Samuel Delli Carri
5832,Simon Laner
5833,Damiano Zanon
5834,Arturo Lupoli
5934,Vasiliy Aleynikov
5937,Vadim Chuhlantsev
5939,Artem Mingazov
5946,Konstantin Scherbakov
5948,Vasilii Lukichev
5949,Josimar Quintero
5953,Imran Alsultanov
5955,Gatoch Panom
6005,Sabri Toufiqui
6022,Mamadou Thiam
6028,Jason Eyenga Lokilo
6043,Kyle Scott
6065,Jessy Benet
6072,Leonardo Rocha
6077,Javi Jiménez
6093,Nicolas Sessa
6106,Jiri Skalak
6123,Sergi
6137,Adrián López
6140,Adam Jakubech
6141,Scotty Sadzoute
6146,Jan Zimmermann
6158,João Schmidt
6184,Daniele Gasparetto
6186,Alessandro Bellemo
6188,Pa Konate
6198,Riccardo Piscitelli
6200,Alessio Donnarumma
6209,Pawel Bochniewicz
6223,José Carlos Sánchez
6245,Cenk Gönen
6246,Stefano Ciavattini
6250,Tashan Oakley-Boothe
6256,Chuli
6259,Pasquale Giannotti
6260,Simon Stefanec
6261,Maxime Leverbe
6284,Alexandros Katranis
6291,Diego Pampín
6294,Ander Cantero
6302,Adam Legzdins
6309,Benjamin Verite
6319,Thomas Rodríguez
6320,Franchu
6322,Jesper Verlaat
6330,Fashion Sakala
6333,Elisha Owusu
6337,Ivan Galanin
6339,Lorenzo Bruzzi
6346,Ian Pino
6349,Alexander Molberg
6358,Dion Henry
6359,Moha Ramos
6366,Francesco Latella
6374,Nicolo Cabras
6383,Luca Seri
6390,Redru
6391,Nicolás Gorosito
6397,Alfie Whiteman
6400,Antonio Martínez
6413,Micheal Scarf
6422,Amir Natcho
6423,Max Melbourne
6425,Nathan Trott
6429,Vladislav Soromytjko
6431,Erwin Mulder
6432,Rayhaan Tulloch
6435,Pierre-Daniel Nguinda Ndiffon
6437,Justin Hoffmans
6438,Ron-Thorben Hoffmann
6439,Jonathan Klinsmann
6444,Alessandro Fiordaliso
6447,Kwame Yeboah
6453,Bastien Rempp
6458,Connor Mahoney
6459,Renato
6461,Leonardo Rivoira
6462,George Thomas
6463,Manuel Lombardoni
6465,Alessio Miceli
6472,Filip Manojlovic
6479,Gauthier Banaziak
6480,Mamadou Sissako
6488,Ruben Droehnle
6491,Dujon Sterling
6493,Kyle Taylor
6497,Aldo Caiazza
6498,Mak Varesanovic
6499,Andrea Donadello
6503,Thore Jacobsen
6507,Semuel Pizzignacco
6511,Romain Caumet
6520,Giovanni
6524,Maurice Covic
6527,Kyle Jameson
6529,Xian Emmers
6539,Joy Mukena
6541,Erdal Rakip
6545,Bilal Hadraoui
6547,Andrea Marcucci
6548,Alessio Riccardi
6549,Devid Eugene Bouah
6554,Marco Pissardo
